id,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Outage_Risk
2043,302.4,311.1,1306.17,,5.0,449.71,0
2044,302.8,312.2,1308.47,36.9,143.0,463.29,1
2045,302.6,312.3,1212.43,53.4,42.0,477.41,0
2046,302.3,310.7,1419.61,33.4,139.0,476.48,0
2047,298.9,308.6,1347.04,39.8,114.0,472.58,0
2048,302.0,309.8,1491.61,31.0,152.0,626.91,0
2049,304.2,313.4,1461.94,32.7,63.0,566.36,0
2050,,307.4,1388.74,36.8,46.0,761.22,0
2051,296.1,307.2,1463.99,29.7,17.0,765.18,0
2052,298.9,308.8,1125.49,53.9,77.0,547.73,0
2053,301.0,310.4,1353.9,46.1,,695.32,0
2054,301.8,,1272.14,46.8,,521.2,0
2055,302.4,311.0,1329.61,40.4,192.0,558.88,0
2056,299.8,309.6,1232.37,51.6,137.0,585.79,1
2057,299.3,308.9,1297.08,43.0,,452.57,0
2058,298.2,307.8,1361.79,46.7,74.0,450.57,1
2059,298.8,,1350.79,48.7,192.0,373.1,0
2060,,308.9,1426.46,30.7,5.0,533.95,1
2061,298.8,309.7,1297.19,,63.0,423.12,1
2062,,310.9,1407.55,34.4,7.0,727.39,0
2063,298.1,309.9,1493.81,30.4,58.0,566.97,0
2064,297.0,307.9,1424.74,33.3,141.0,599.37,1
2065,300.9,310.8,1344.05,37.0,5.0,656.05,0
2066,297.5,308.2,1190.75,,189.0,485.58,0
2067,302.3,312.0,1220.07,52.2,165.0,609.43,0
2068,302.8,312.3,1323.29,47.2,223.0,576.81,0
2069,300.3,311.8,1537.89,26.3,187.0,602.85,1
2070,300.4,309.8,1199.21,63.1,146.0,438.5,0
2071,300.8,310.2,1331.12,46.3,187.0,713.23,0
2072,300.8,310.7,1327.84,40.8,28.0,675.26,0
2073,298.2,307.5,1328.23,51.3,180.0,629.62,0
2074,303.3,,1507.39,30.6,50.0,412.74,1
2075,300.4,311.6,1315.3,55.4,160.0,705.45,0
2076,298.7,309.8,1418.02,36.7,197.0,502.07,1
2077,297.3,308.0,1298.05,49.0,,593.7,0
2078,298.3,308.5,1385.76,53.8,164.0,727.1,1
2079,298.1,308.0,1548.58,30.9,61.0,437.12,0
2080,300.0,311.4,1327.6,39.0,92.0,504.1,0
2081,297.9,307.6,1351.89,40.7,124.0,653.77,0
2082,297.9,308.5,1296.93,40.8,157.0,347.04,0
2083,299.8,309.4,1572.56,27.0,173.0,550.63,1
2084,301.9,310.8,1348.0,21.7,62.0,625.93,0
2085,295.6,306.1,1315.34,49.2,158.0,476.85,0
2086,300.1,309.2,1582.98,,118.0,578.93,0
2087,303.3,312.7,1479.88,33.6,104.0,532.04,0
2088,299.3,308.6,1378.6,33.7,76.0,594.93,0
2089,297.9,308.5,1513.3,,63.0,506.55,1
2090,301.6,310.6,1203.37,60.8,73.0,584.62,1
2091,299.3,308.6,1305.26,48.1,,539.11,0
2092,296.3,307.1,1409.61,33.2,186.0,556.74,0
2093,302.4,311.3,1357.58,38.2,120.0,529.04,1
2094,295.5,305.9,1423.06,37.2,197.0,402.34,0
2095,298.8,308.9,1370.7,32.4,189.0,652.75,0
2096,301.9,309.6,1421.34,34.6,211.0,507.12,0
2097,299.1,,1281.68,43.4,0.0,549.72,0
2098,301.0,310.0,1067.59,67.9,30.0,376.45,0
2099,300.3,311.1,1453.87,30.9,156.0,450.72,0
2100,,308.4,1434.48,37.0,,641.3,0
2101,300.6,311.8,1357.59,44.8,226.0,331.96,0
2102,,309.7,1238.61,51.2,143.0,518.11,0
2103,298.1,308.3,1322.87,41.5,,325.54,0
2104,301.5,,2393.58,12.0,21.0,1040.5,1
2105,298.6,309.1,1317.6,43.2,206.0,550.29,1
2106,297.8,,1307.16,40.0,192.0,643.29,0
2107,300.7,309.8,1333.52,38.8,173.0,546.67,1
2108,299.1,310.4,1301.72,,85.0,446.18,1
2109,,313.2,1435.91,43.4,52.0,495.06,0
2110,300.0,309.2,1281.38,43.6,123.0,383.91,0
2111,297.7,309.5,1812.98,19.8,39.0,792.33,1
2112,297.4,309.0,1433.9,32.0,166.0,725.38,0
2113,300.9,310.9,1338.57,41.5,100.0,480.73,0
2114,303.5,311.9,1346.6,38.7,,572.36,0
2115,300.5,309.3,1710.43,25.5,98.0,789.59,1
2116,302.6,311.4,1605.09,29.5,151.0,594.67,0
2117,300.0,311.1,1256.36,47.8,179.0,412.34,0
2118,301.0,310.9,1636.48,28.5,197.0,777.91,0
2119,303.8,312.7,1713.02,20.2,131.0,609.62,1
2120,298.3,307.9,1323.6,39.9,143.0,570.33,0
2121,301.4,310.7,1274.58,54.1,90.0,485.06,0
2122,297.8,309.8,1513.03,29.0,178.0,470.29,1
2123,301.7,311.1,1487.9,32.8,206.0,642.65,0
2124,302.1,311.4,1384.9,44.6,31.0,451.81,0
2125,300.1,310.1,1429.9,43.5,,658.27,0
2126,299.7,310.2,1298.53,43.4,28.0,530.48,0
2127,302.6,310.4,1445.32,36.0,74.0,474.83,0
2128,301.8,310.7,1339.52,35.8,82.0,656.01,1
2129,301.9,310.4,1231.26,48.0,73.0,416.17,0
2130,301.3,310.7,1266.92,52.5,61.0,634.1,0
2131,297.9,310.0,1294.96,41.7,185.0,467.57,0
2132,,308.5,1506.14,33.0,58.0,757.71,0
2133,300.2,309.4,1795.95,21.4,44.0,789.3,1
2134,297.4,308.5,1341.67,61.5,61.0,550.56,1
2135,300.6,309.6,1237.8,50.0,70.0,616.95,0
2136,299.1,310.6,1414.93,37.1,44.0,585.93,0
2137,298.0,308.5,1260.6,46.2,122.0,567.82,0
2138,301.0,311.0,1411.93,37.0,127.0,494.88,1
2139,,311.2,1624.4,23.7,183.0,648.87,1
2140,300.3,,1313.44,51.4,48.0,686.48,0
2141,300.7,310.1,1532.16,32.3,170.0,460.65,0
2142,300.0,309.0,1319.6,51.7,2.0,657.89,0
2143,300.5,,1418.94,38.2,199.0,574.21,0
2144,298.3,307.9,1365.94,33.8,72.0,582.69,0
2145,296.9,307.7,1401.78,39.7,124.0,427.4,0
2146,300.0,309.6,1553.8,28.7,51.0,441.45,1
2147,302.2,311.5,1465.02,30.6,39.0,458.26,1
2148,300.4,309.7,1542.69,31.3,152.0,617.51,0
2149,301.2,310.3,1400.94,38.6,59.0,667.37,0
2150,299.8,,1280.8,46.7,136.0,498.75,1
2151,300.4,309.8,1287.21,47.2,0.0,572.56,0
2152,297.4,307.9,1456.13,34.3,166.0,640.15,0
2153,299.7,309.4,1467.83,29.8,93.0,712.83,1
2154,298.3,309.1,1279.87,40.9,162.0,642.01,0
2155,299.7,309.2,1184.59,55.5,87.0,477.02,0
2156,301.9,311.0,1168.99,54.9,128.0,393.27,0
2157,302.5,310.9,1349.7,39.2,144.0,291.34,0
2158,298.6,309.6,1363.75,40.7,106.0,530.65,0
2159,,311.8,1491.39,30.0,122.0,674.92,0
2160,301.2,310.6,1315.53,50.5,114.0,514.08,1
2161,302.4,311.1,1705.53,20.9,77.0,892.53,0
2162,299.4,308.9,1405.82,34.1,,761.52,0
2163,300.2,310.3,1545.96,29.4,221.0,781.83,1
2164,298.7,309.8,1233.41,53.3,212.0,496.14,0
2165,301.9,310.7,1739.99,25.0,137.0,689.33,1
2166,296.0,306.7,1272.11,44.2,46.0,405.23,1
2167,301.2,310.7,1208.67,42.8,168.0,414.64,0
2168,298.2,308.7,1242.27,46.3,3.0,489.14,0
2169,300.8,311.2,1295.37,,109.0,390.32,0
2170,302.3,311.8,1286.47,35.7,197.0,452.97,0
2171,303.5,312.1,1181.46,55.7,,465.81,0
2172,300.5,310.6,1265.98,47.2,201.0,614.59,0
2173,300.3,310.4,1606.37,25.9,7.0,557.28,0
2174,299.9,309.2,1345.2,43.2,132.0,534.82,1
2175,300.7,311.0,1360.87,38.3,99.0,533.1,0
2176,,308.0,1516.35,25.6,159.0,569.37,0
2177,300.6,310.2,1332.28,40.1,5.0,592.69,0
2178,300.9,311.3,1497.55,28.9,183.0,601.75,1
2179,299.4,310.0,1355.5,43.2,,503.27,0
2180,300.4,309.8,1541.87,30.4,,543.3,0
2181,299.9,310.0,1345.67,42.1,182.0,334.18,0
2182,298.4,307.9,1581.45,27.3,134.0,698.78,0
2183,302.5,310.2,1288.12,41.6,16.0,651.11,0
2184,300.6,309.3,1366.01,46.0,,541.4,1
2185,299.4,308.7,1373.38,42.7,128.0,472.96,0
2186,301.3,311.4,1653.38,23.2,215.0,563.48,1
2187,298.3,309.0,1385.33,36.9,20.0,437.07,0
2188,298.5,308.0,1476.72,29.8,160.0,728.99,0
2189,,,1381.2,37.3,36.0,515.72,0
2190,300.4,311.3,1210.22,56.5,31.0,406.3,0
2191,299.0,310.3,1329.12,43.0,91.0,387.07,0
2192,297.6,308.6,1341.81,46.7,85.0,502.51,1
2193,301.5,310.7,1679.86,21.3,152.0,746.35,1
2194,300.9,311.0,1401.59,34.3,130.0,584.62,0
2195,300.2,311.4,1193.96,54.6,15.0,382.64,0
2196,300.4,,1436.54,32.8,26.0,526.36,1
2197,299.8,311.3,1373.94,41.2,105.0,553.85,0
2198,297.3,308.3,1359.26,32.2,29.0,526.03,1
2199,298.4,308.8,1310.21,40.1,111.0,466.29,0
2200,296.3,307.1,1349.92,32.9,190.0,553.84,1
2201,298.1,307.9,1384.84,40.8,,546.1,1
2202,299.1,310.5,1568.46,27.4,72.0,712.58,1
2203,301.5,311.1,1309.92,45.1,97.0,747.09,0
2204,295.7,306.3,1309.91,44.3,37.0,489.08,0
2205,302.6,311.0,1392.49,42.8,,479.26,0
2206,298.4,309.9,1573.42,27.8,21.0,512.55,1
2207,299.2,310.6,1529.76,33.3,28.0,661.73,1
2208,298.4,308.6,1429.23,36.7,122.0,597.78,0
2209,300.6,310.4,1249.93,42.6,114.0,392.31,0
2210,297.1,308.0,1351.25,42.8,169.0,501.3,0
2211,,309.5,1534.31,30.3,148.0,609.26,1
2212,300.0,309.7,1454.18,28.6,112.0,686.11,0
2213,301.9,310.9,1311.23,43.7,0.0,424.68,1
2214,297.0,307.7,1124.78,51.1,130.0,532.46,0
2215,300.4,311.0,1632.52,26.0,197.0,770.34,1
2216,303.5,311.6,1969.32,17.0,110.0,774.09,1
2217,298.9,310.1,1336.31,,133.0,733.8,1
2218,297.0,307.9,1658.21,27.3,179.0,558.75,1
2219,302.4,310.1,1701.65,21.2,110.0,483.04,1
2220,298.0,307.6,1507.92,28.9,123.0,623.21,1
2221,303.6,312.0,1633.48,23.3,103.0,631.26,1
2222,302.2,311.7,1282.4,44.5,204.0,481.63,0
2223,299.2,308.4,1204.85,42.5,54.0,386.81,0
2224,301.8,310.7,1387.05,37.7,64.0,460.18,0
2225,299.3,309.3,1368.61,,,555.51,0
2226,299.4,310.6,1286.28,53.1,10.0,505.23,0
2227,,312.4,1418.5,37.9,98.0,495.12,0
2228,298.8,309.4,1261.29,,171.0,679.68,0
2229,301.1,311.1,1475.83,37.7,153.0,718.57,1
2230,297.5,308.6,1514.11,27.1,36.0,593.99,1
2231,302.7,,1243.74,46.9,176.0,349.13,1
2232,302.4,310.2,1377.3,45.9,,565.65,0
2233,300.9,311.4,1304.72,45.4,118.0,574.64,0
2234,297.6,308.6,1380.54,40.0,123.0,554.1,0
2235,300.3,,1499.49,25.6,43.0,599.13,0
2236,300.3,309.9,1378.09,39.9,203.0,550.98,1
2237,303.6,312.4,1295.77,46.0,128.0,524.18,0
2238,299.7,,1504.11,32.1,88.0,550.54,0
2239,297.9,,1290.22,47.8,171.0,539.08,1
2240,299.6,,1244.59,47.7,28.0,300.45,0
2241,297.3,308.0,1230.55,45.0,77.0,347.83,0
2242,299.2,308.4,1309.43,32.7,101.0,354.54,1
2243,297.7,307.2,1224.73,52.8,33.0,393.99,0
2244,297.2,307.9,1192.43,,172.0,534.4,0
2245,300.9,310.7,1303.82,44.1,141.0,604.88,0
2246,298.1,307.9,1588.05,28.6,176.0,449.91,0
2247,298.8,310.3,1424.68,36.8,97.0,665.02,1
2248,298.4,308.1,1336.42,50.0,156.0,480.24,0
2249,299.6,310.6,1383.64,34.2,151.0,512.39,1
2250,297.9,307.4,1263.22,52.8,0.0,422.91,0
2251,301.0,310.9,1355.77,44.2,116.0,559.19,0
2252,298.9,309.2,1406.78,36.7,101.0,749.07,0
2253,300.1,310.3,1222.71,57.1,71.0,644.71,0
2254,301.3,311.1,1658.39,25.4,22.0,762.38,0
2255,301.4,310.4,1217.78,45.3,188.0,604.08,0
2256,301.5,,1238.49,46.7,32.0,674.58,0
2257,300.0,309.0,1584.73,32.1,79.0,540.45,0
2258,298.0,308.7,1293.4,51.9,47.0,379.23,0
2259,298.8,309.6,1232.38,,39.0,481.23,0
2260,298.7,310.0,1473.03,,42.0,733.03,1
2261,301.9,310.9,1265.24,47.7,20.0,420.98,0
2262,302.3,310.9,1458.37,32.3,0.0,776.87,0
2263,300.1,309.5,1398.31,,59.0,536.04,0
2264,297.3,309.0,1384.22,39.5,168.0,635.16,0
2265,302.8,,1496.18,29.1,2.0,709.4,1
2266,297.7,309.6,1331.12,47.9,18.0,412.02,0
2267,,307.7,1313.13,47.1,199.0,467.1,0
2268,300.0,309.3,1777.4,22.0,175.0,789.19,1
2269,302.3,311.0,1245.86,47.0,164.0,662.81,0
2270,300.1,311.3,1385.55,34.1,135.0,488.65,0
2271,301.9,309.9,1243.47,48.5,180.0,426.36,0
2272,300.7,311.7,1374.22,36.9,229.0,541.97,1
2273,297.9,309.1,1381.43,36.6,20.0,538.97,0
2274,301.5,310.5,1292.68,44.2,129.0,626.76,1
2275,299.7,309.2,1592.75,29.6,201.0,525.87,1
2276,302.1,311.0,1226.12,49.5,196.0,671.83,1
2277,298.0,309.6,1273.36,51.3,122.0,494.0,0
2278,297.6,309.4,1327.03,40.2,231.0,532.87,0
2279,297.5,308.9,1128.92,48.5,19.0,510.92,0
2280,301.6,310.6,1310.96,43.9,129.0,710.13,0
2281,298.5,309.3,1391.27,40.1,131.0,545.74,0
2282,296.7,,1272.18,53.8,133.0,304.84,0
2283,,312.3,1691.56,25.4,2.0,623.98,1
2284,302.7,310.8,1416.66,36.1,35.0,536.15,1
2285,297.9,307.4,1451.38,34.6,219.0,511.92,0
2286,300.9,311.0,1225.04,51.2,136.0,541.24,0
2287,300.0,311.5,1480.1,32.0,128.0,535.61,0
2288,297.5,308.6,1395.63,,77.0,508.74,0
2289,299.5,,1227.54,50.4,85.0,444.36,0
2290,299.4,308.8,1458.29,32.6,124.0,520.67,0
2291,299.2,308.5,1280.02,45.2,222.0,644.75,0
2292,298.8,,1288.39,45.7,97.0,457.9,0
2293,301.4,310.4,1355.13,37.5,193.0,616.59,0
2294,298.6,308.4,1260.67,46.4,36.0,435.09,0
2295,298.5,309.4,1277.47,46.7,102.0,690.74,0
2296,298.5,309.6,1645.52,26.9,130.0,612.95,1
2297,303.6,312.9,1335.34,41.4,,707.67,0
2298,298.1,308.1,1276.65,45.8,71.0,514.59,0
2299,304.1,313.2,1283.07,50.1,43.0,550.88,0
2300,300.4,311.6,1227.1,54.6,111.0,406.86,1
2301,297.4,309.3,1380.52,36.8,88.0,461.97,1
2302,299.7,309.0,1314.96,49.0,158.0,499.94,1
2303,299.1,309.5,1213.89,48.2,86.0,314.78,0
2304,297.5,308.4,1374.53,37.2,215.0,514.21,0
2305,297.4,309.4,1169.02,52.3,96.0,349.18,0
2306,300.7,310.8,1319.56,45.2,92.0,599.57,1
2307,303.8,,1264.52,52.4,140.0,456.1,0
2308,298.8,309.8,1404.35,36.6,15.0,618.43,1
2309,302.2,311.1,1295.69,52.1,174.0,468.87,0
2310,302.4,311.9,1518.78,29.9,204.0,482.29,1
2311,298.8,309.1,1254.33,,,506.59,0
2312,298.5,309.5,1374.12,33.1,68.0,462.96,0
2313,298.8,308.6,1398.39,33.7,61.0,573.44,0
2314,302.4,311.8,1362.8,45.7,108.0,376.85,1
2315,298.9,310.2,1392.65,,138.0,585.82,0
2316,298.3,308.1,1491.44,41.3,0.0,580.34,0
2317,300.5,311.5,1235.61,56.1,7.0,640.64,0
2318,,308.7,1395.01,,202.0,574.39,0
2319,299.5,310.1,1431.5,,50.0,688.71,0
2320,299.8,,1430.4,37.7,124.0,689.83,0
2321,303.2,311.3,1288.02,52.9,12.0,476.23,0
2322,296.9,307.7,1500.85,30.8,181.0,572.54,1
2323,300.2,309.8,1281.49,54.8,39.0,598.82,0
2324,300.2,309.7,1356.63,61.4,170.0,558.52,0
2325,300.2,309.7,1506.14,,142.0,601.85,0
2326,300.9,310.6,1382.93,36.7,3.0,775.95,0
2327,296.9,308.1,1197.11,41.8,127.0,506.87,1
2328,300.4,310.0,1585.79,26.1,38.0,878.07,0
2329,303.5,312.9,1403.36,44.7,84.0,514.2,0
2330,301.4,310.6,1321.53,37.4,74.0,453.14,1
2331,299.1,310.1,1204.31,61.3,94.0,540.88,0
2332,302.1,311.1,1330.36,51.6,86.0,626.88,0
2333,299.2,308.4,1344.63,38.7,22.0,611.52,1
2334,300.3,309.8,1301.21,42.0,3.0,586.23,0
2335,299.4,308.7,1373.25,39.0,90.0,562.21,0
2336,299.8,,1334.05,,89.0,591.16,0
2337,299.0,310.0,1227.09,45.2,110.0,502.41,0
2338,302.0,310.6,1239.54,53.1,194.0,608.62,1
2339,300.3,309.9,1358.22,38.5,33.0,593.24,0
2340,300.8,310.9,1213.34,55.8,118.0,619.43,0
2341,303.6,312.7,1263.19,46.2,57.0,607.48,0
2342,300.2,311.4,1290.11,44.2,84.0,406.06,0
2343,299.7,309.2,1201.02,64.8,71.0,550.29,0
2344,302.7,312.0,1660.99,24.0,63.0,685.57,1
2345,298.9,308.3,1660.66,23.8,33.0,693.53,1
2346,298.5,309.4,1301.12,41.2,155.0,545.82,0
2347,296.8,307.8,1515.31,32.8,142.0,616.31,0
2348,300.3,,1294.76,47.5,,480.6,0
2349,298.3,309.3,1254.37,51.9,14.0,652.07,0
2350,297.9,307.9,1307.56,58.5,93.0,470.87,0
2351,299.9,309.8,1288.97,48.7,119.0,506.55,0
2352,301.8,311.1,1417.63,29.8,177.0,518.95,0
2353,303.4,312.7,1373.73,35.5,98.0,564.6,0
2354,298.8,309.9,1215.25,47.2,73.0,529.08,0
2355,300.6,312.2,1971.98,18.5,95.0,823.26,1
2356,300.6,309.6,1555.5,30.0,147.0,522.31,1
2357,297.6,308.3,1448.71,36.9,61.0,586.02,0
2358,302.8,312.5,1521.09,28.4,66.0,506.64,0
2359,300.5,,1338.93,43.1,16.0,590.19,0
2360,298.4,308.2,1302.63,37.6,188.0,517.11,0
2361,298.6,309.4,1228.0,45.3,56.0,420.62,0
2362,297.0,307.9,1321.7,34.7,57.0,635.4,0
2363,298.1,309.1,1418.1,37.5,126.0,509.85,0
2364,301.3,310.8,1347.23,53.4,57.0,566.76,0
2365,298.0,308.7,1335.27,69.4,189.0,596.49,1
2366,,311.0,1362.72,40.8,148.0,693.76,0
2367,,311.1,1420.04,33.4,186.0,494.21,1
2368,,311.9,1184.18,57.9,155.0,342.5,0
2369,,312.9,1312.98,50.1,31.0,623.16,0
2370,301.4,310.7,1351.35,,176.0,497.77,1
2371,302.7,312.2,1242.25,51.4,157.0,454.55,0
2372,303.1,312.5,1354.52,26.7,157.0,369.77,0
2373,295.8,306.5,1385.17,37.7,60.0,593.65,0
2374,302.5,310.4,1369.27,37.6,45.0,481.21,1
2375,,309.3,1506.8,32.5,93.0,564.45,0
2376,299.2,309.1,1248.57,47.1,9.0,469.39,1
2377,299.8,311.1,1325.61,46.1,58.0,568.71,1
2378,298.1,308.9,1308.13,43.4,105.0,530.43,0
2379,297.8,307.2,1288.01,39.6,199.0,574.21,0
2380,302.3,311.7,1369.0,38.3,5.0,496.03,0
2381,298.3,309.0,1362.45,36.9,41.0,396.7,0
2382,300.6,310.9,1476.2,30.3,91.0,585.75,0
2383,302.2,311.2,1232.9,52.8,176.0,590.24,0
2384,299.4,310.9,1552.54,27.8,10.0,491.53,0
2385,300.3,311.8,1330.23,38.4,51.0,431.93,1
2386,302.7,311.5,1393.06,41.4,149.0,644.3,0
2387,302.2,311.6,1222.24,50.5,,478.95,0
2388,300.5,311.6,1308.46,39.1,199.0,513.92,0
2389,301.4,311.0,1542.46,25.7,182.0,631.1,1
2390,302.5,311.9,1348.62,41.6,123.0,436.83,0
2391,301.7,311.0,1431.08,40.3,21.0,523.97,0
2392,297.6,,1427.65,31.0,48.0,460.95,1
2393,298.1,307.8,1452.15,32.6,57.0,516.59,0
2394,300.2,309.4,1297.54,48.8,191.0,501.25,0
2395,302.2,,1566.9,34.0,179.0,632.43,1
2396,300.1,310.5,1330.46,44.2,117.0,385.72,0
2397,300.7,310.2,1720.7,24.8,64.0,760.74,0
2398,302.9,312.2,1507.74,30.5,46.0,562.8,1
2399,300.1,309.1,1406.22,35.4,14.0,641.29,0
2400,301.3,310.4,1377.78,38.4,195.0,752.88,0
2401,302.5,312.2,1554.98,25.3,,651.58,0
2402,298.9,310.5,1293.19,39.9,19.0,373.62,0
2403,302.7,311.1,1282.42,43.4,130.0,479.83,0
2404,299.5,308.8,1749.52,20.4,164.0,606.45,1
2405,300.0,,1456.67,31.8,103.0,399.01,0
2406,299.0,310.3,1457.0,31.0,70.0,566.87,0
2407,300.4,309.6,1376.61,34.5,154.0,616.91,0
2408,297.1,308.3,1252.94,54.1,179.0,512.43,0
2409,297.8,308.3,1290.08,50.1,189.0,572.59,0
2410,304.0,313.0,2136.29,15.0,117.0,844.25,1
2411,,308.6,1495.02,29.4,136.0,560.76,1
2412,297.8,308.4,1895.64,19.2,148.0,880.01,1
2413,304.4,313.6,1433.99,38.9,9.0,504.4,0
2414,300.5,311.6,1219.69,53.5,78.0,536.49,0
2415,302.7,311.8,1356.63,30.0,12.0,579.7,0
2416,302.2,311.1,1475.77,32.8,77.0,646.3,1
2417,298.0,307.7,1280.59,47.3,49.0,526.86,0
2418,298.2,308.4,1528.75,,74.0,510.01,0
2419,298.3,308.1,1181.77,58.4,90.0,589.63,0
2420,299.3,309.2,1302.89,41.5,,605.5,0
2421,299.7,309.2,1303.58,38.8,199.0,559.4,0
2422,,310.1,1444.63,37.8,31.0,604.44,1
2423,298.9,310.1,1304.95,49.9,187.0,343.9,0
2424,300.3,,1260.86,46.7,210.0,413.33,0
2425,297.2,307.9,1361.02,35.9,197.0,603.33,0
2426,299.5,309.3,1286.01,49.2,179.0,689.13,0
2427,297.5,308.7,1268.54,44.3,201.0,364.1,0
2428,298.3,309.5,1428.36,36.9,131.0,458.97,0
2429,301.7,310.9,1531.62,31.2,146.0,571.96,0
2430,296.3,307.3,1364.0,52.7,31.0,434.32,0
2431,296.9,307.9,1212.92,56.5,110.0,365.61,0
2432,,,1346.1,38.2,14.0,699.19,0
2433,301.4,,1359.29,39.9,107.0,601.33,0
2434,,308.3,1319.35,45.5,,436.53,0
2435,300.3,310.7,1410.72,32.3,123.0,612.41,1
2436,301.9,310.4,1441.29,37.6,,704.06,0
2437,299.0,308.5,1452.85,33.5,154.0,570.75,0
2438,,310.1,1368.34,37.6,85.0,641.27,1
2439,303.3,311.8,1286.25,44.9,61.0,698.18,0
2440,,308.8,1587.3,27.2,,773.54,1
2441,298.4,309.3,1278.14,43.1,166.0,538.31,0
2442,297.4,308.4,1385.62,41.2,66.0,688.86,1
2443,303.4,311.9,1142.77,63.9,59.0,429.55,0
2444,300.1,310.5,1472.66,29.2,95.0,613.17,0
2445,298.6,308.3,1186.9,60.5,32.0,418.82,0
2446,297.4,308.6,1328.94,42.6,161.0,430.57,1
2447,303.0,312.3,1532.52,29.5,109.0,728.49,1
2448,,311.2,1272.31,42.6,79.0,646.78,0
2449,298.1,309.3,1586.57,25.2,77.0,623.87,0
2450,297.4,308.8,1307.91,58.1,129.0,620.58,0
2451,304.1,313.3,1368.78,32.5,134.0,657.76,0
2452,300.4,311.8,1417.56,33.1,209.0,561.72,0
2453,302.4,310.1,1800.21,18.9,59.0,638.41,0
2454,302.7,310.5,1278.25,47.3,70.0,332.97,0
2455,298.4,308.7,1424.88,35.0,99.0,407.72,0
2456,298.6,309.5,1521.9,27.8,44.0,578.09,1
2457,302.2,310.5,1632.86,23.7,,682.84,1
2458,299.1,,1258.4,41.2,185.0,488.24,1
2459,302.4,312.1,1363.39,47.7,7.0,551.03,0
2460,297.6,308.9,1297.06,43.2,206.0,533.44,0
2461,299.9,311.2,1243.09,49.6,50.0,282.55,0
2462,,309.9,1367.81,31.2,176.0,533.33,0
2463,300.8,312.3,1281.54,44.8,134.0,454.9,0
2464,302.3,311.5,1299.52,44.8,65.0,558.33,0
2465,304.0,313.0,1214.5,61.1,88.0,459.64,0
2466,299.8,309.5,1319.14,39.6,10.0,460.55,0
2467,298.4,,1417.6,34.4,160.0,523.09,0
2468,302.3,310.8,1564.62,26.3,213.0,538.5,0
2469,298.1,307.7,1354.29,45.0,136.0,572.94,0
2470,301.4,310.6,1455.5,30.7,90.0,696.61,1
2471,303.8,312.6,1356.89,41.9,159.0,654.14,1
2472,299.3,308.8,1379.27,45.8,170.0,534.05,1
2473,302.7,312.1,1482.75,35.2,31.0,634.29,1
2474,,311.8,1734.61,21.9,195.0,762.78,1
2475,303.1,312.8,1298.7,41.9,115.0,605.28,0
2476,302.0,311.0,1428.28,37.8,218.0,484.24,0
2477,,308.9,1332.14,50.0,203.0,454.95,1
2478,298.3,309.4,1604.6,22.6,138.0,560.64,1
2479,298.8,,1510.8,28.1,103.0,525.69,1
2480,302.9,312.3,1429.64,36.3,141.0,666.63,1
2481,303.7,312.4,1334.61,28.5,132.0,670.93,1
2482,300.7,310.9,1356.48,,106.0,588.54,0
2483,299.8,,1279.12,45.6,156.0,449.65,1
2484,297.9,308.5,1384.9,34.3,61.0,456.98,0
2485,296.6,307.4,1341.41,47.8,187.0,734.91,0
2486,,311.5,1344.96,41.0,29.0,372.0,0
2487,303.7,312.9,1360.03,41.0,33.0,627.12,1
2488,301.2,310.7,1350.43,31.6,166.0,548.38,0
2489,304.1,313.3,1560.44,28.5,132.0,785.92,1
2490,302.3,311.4,1331.95,40.2,,757.12,0
2491,297.7,307.2,1230.26,43.7,2.0,424.13,1
2492,302.2,311.1,1456.7,30.6,105.0,635.94,0
2493,301.1,310.7,2344.19,12.2,100.0,927.47,1
2494,295.8,306.4,1229.13,48.0,99.0,501.78,0
2495,301.1,310.4,1151.08,73.6,49.0,490.32,0
2496,303.7,312.9,1285.32,41.9,48.0,531.32,0
2497,299.3,308.8,1597.17,25.2,89.0,707.65,0
2498,301.3,311.5,1509.87,32.4,0.0,540.39,0
2499,298.4,309.4,1423.73,43.2,141.0,617.42,0
2500,298.6,310.0,1377.28,41.2,64.0,488.5,0
2501,300.6,309.6,1333.05,,68.0,524.6,0
2502,300.7,312.3,1244.66,47.2,131.0,356.41,0
2503,301.5,310.6,1240.22,58.1,67.0,400.21,0
2504,300.7,312.4,1295.75,38.6,56.0,399.59,1
2505,299.2,308.8,1263.54,51.4,,448.36,0
2506,300.2,310.2,1260.98,51.5,7.0,408.82,0
2507,302.3,311.1,1228.71,53.3,63.0,501.29,0
2508,298.5,309.1,1295.93,41.3,189.0,575.21,0
2509,,311.7,1397.57,36.8,215.0,413.08,1
2510,298.8,,1465.1,27.9,12.0,473.17,1
2511,304.2,313.6,1311.89,40.0,154.0,489.05,0
2512,297.0,307.8,1257.22,40.7,184.0,461.15,0
2513,303.8,312.5,1357.4,38.0,209.0,515.7,0
2514,299.3,308.5,1367.75,45.4,72.0,546.7,1
2515,300.1,310.5,1253.69,44.3,121.0,513.94,0
2516,299.5,309.3,1508.15,29.2,132.0,471.71,1
2517,296.2,307.2,1272.56,52.0,201.0,461.78,0
2518,297.0,307.9,1301.88,53.0,115.0,445.61,0
2519,300.6,309.4,1306.78,44.2,84.0,464.73,0
